2017-07-03 23:42:26,616 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [10] milliseconds
2017-07-03 23:42:26,617 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: ProductContent
2017-07-03 23:42:26,634 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [17] milliseconds
2017-07-03 23:42:26,634 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: ProductContent
2017-07-03 23:42:26,671 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [36] milliseconds
2017-07-03 23:42:26,671 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductContent
2017-07-03 23:42:26,673 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2017-07-03 23:42:26,684 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [11] milliseconds
2017-07-03 23:42:26,689 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2017-07-03 23:42:26,699 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [10] milliseconds
2017-07-03 23:42:26,701 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: ProductContent
2017-07-03 23:42:26,721 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [19] milliseconds
2017-07-03 23:42:26,721 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: ProductContent
2017-07-03 23:42:26,760 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [39] milliseconds
2017-07-03 23:42:26,760 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductContent
2017-07-03 23:42:26,763 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2017-07-03 23:42:26,775 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [12] milliseconds
2017-07-03 23:42:26,778 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2017-07-03 23:42:26,794 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [15] milliseconds
2017-07-03 23:42:26,795 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: ProductContent
2017-07-03 23:42:26,812 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [17] milliseconds
2017-07-03 23:42:26,812 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: ProductContent
2017-07-03 23:42:26,853 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [40] milliseconds
2017-07-03 23:42:26,853 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductContent
2017-07-03 23:42:26,854 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProduct] finished in [1] milliseconds
2017-07-03 23:42:26,856 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromDataResource, triggered by rule on Entity: DataResource
2017-07-03 23:42:26,857 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromDataResource] finished in [1] milliseconds
2017-07-03 23:42:26,859 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2017-07-03 23:42:26,871 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [12] milliseconds
2017-07-03 23:42:26,878 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2017-07-03 23:42:26,893 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [14] milliseconds
2017-07-03 23:42:26,895 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: ProductContent
2017-07-03 23:42:26,919 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [24] milliseconds
2017-07-03 23:42:26,919 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: ProductContent
2017-07-03 23:42:26,953 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [34] milliseconds
2017-07-03 23:42:26,953 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductContent
2017-07-03 23:42:26,956 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromDataResource, triggered by rule on Entity: DataResource
2017-07-03 23:42:26,958 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromContent] finished in [1] milliseconds
2017-07-03 23:42:26,959 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromContent] finished in [1] milliseconds
